Order_Date,Order_Revenue,Running_Total_Revenue
"2006-07-04 00:00:00",440.0000,440.0000
"2006-07-05 00:00:00",1863.4000,2303.4000
"2006-07-08 00:00:00",2206.6600,4510.0600
"2006-07-09 00:00:00",3597.9000,8107.9600
"2006-07-10 00:00:00",1444.8000,9552.7600
"2006-07-11 00:00:00",556.6200,10109.3800
"2006-07-12 00:00:00",2490.5000,12599.8800
"2006-07-15 00:00:00",517.8000,13117.6800
"2006-07-16 00:00:00",1119.9000,14237.5800
"2006-07-17 00:00:00",1614.8800,15852.4600
"2006-07-18 00:00:00",100.8000,15953.2600
"2006-07-19 00:00:00",1952.6500,17905.9100
"2006-07-22 00:00:00",584.0000,18489.9100
"2006-07-23 00:00:00",1873.8000,20363.7100
"2006-07-24 00:00:00",695.6250,21059.3350
"2006-07-25 00:00:00",1176.0000,22235.3350
"2006-07-26 00:00:00",346.5600,22581.8950
"2006-07-29 00:00:00",3536.6000,26118.4950
"2006-07-30 00:00:00",1101.2000,27219.6950
"2006-07-31 00:00:00",642.2000,27861.8950
"2006-08-01 00:00:00",1424.0000,29285.8950
"2006-08-02 00:00:00",1456.0000,30741.8950
"2006-08-05 00:00:00",2037.2800,32779.1750
"2006-08-06 00:00:00",538.6000,33317.7750
"2006-08-07 00:00:00",291.8400,33609.6150
"2006-08-08 00:00:00",420.0000,34029.6150
"2006-08-09 00:00:00",1200.8000,35230.4150
"2006-08-12 00:00:00",1488.8000,36719.2150
"2006-08-13 00:00:00",351.0000,37070.2150
"2006-08-14 00:00:00",699.7000,37769.9150
"2006-08-15 00:00:00",155.4000,37925.3150
"2006-08-16 00:00:00",1414.8000,39340.1150
"2006-08-19 00:00:00",1170.3750,40510.4900
"2006-08-20 00:00:00",1743.3600,42253.8500
"2006-08-21 00:00:00",3016.0000,45269.8500
"2006-08-22 00:00:00",819.0000,46088.8500
"2006-08-23 00:00:00",80.1000,46168.9500
"2006-08-26 00:00:00",479.4000,46648.3500
"2006-08-27 00:00:00",2666.5200,49314.8700
"2006-08-28 00:00:00",1296.0000,50610.8700
"2006-08-29 00:00:00",848.7000,51459.5700
"2006-08-30 00:00:00",1887.6000,53347.1700
"2006-09-02 00:00:00",121.6000,53468.7700
"2006-09-03 00:00:00",1050.6000,54519.3700
"2006-09-04 00:00:00",1420.0000,55939.3700
"2006-09-05 00:00:00",2645.0000,58584.3700
"2006-09-06 00:00:00",349.5000,58933.8700
"2006-09-09 00:00:00",1363.0000,60296.8700
"2006-09-10 00:00:00",2708.8000,63005.6700
"2006-09-11 00:00:00",1117.8000,64123.4700
"2006-09-12 00:00:00",954.4000,65077.8700
"2006-09-13 00:00:00",3741.3000,68819.1700
"2006-09-16 00:00:00",498.5000,69317.6700
"2006-09-17 00:00:00",424.0000,69741.6700
"2006-09-18 00:00:00",88.8000,69830.4700
"2006-09-19 00:00:00",1762.0000,71592.4700
"2006-09-20 00:00:00",604.8000,72197.2700
