companyName,orderId,orderDate
"Customer NRZBB",10643,"2007-08-25 00:00:00"
"Customer NRZBB",10692,"2007-10-03 00:00:00"
"Customer NRZBB",10702,"2007-10-13 00:00:00"
"Customer NRZBB",10835,"2008-01-15 00:00:00"
"Customer NRZBB",10952,"2008-03-16 00:00:00"
"Customer NRZBB",11011,"2008-04-09 00:00:00"
"Customer MLTDN",10308,"2006-09-18 00:00:00"
"Customer MLTDN",10625,"2007-08-08 00:00:00"
"Customer MLTDN",10759,"2007-11-28 00:00:00"
"Customer MLTDN",10926,"2008-03-04 00:00:00"
"Customer KBUDE",10365,"2006-11-27 00:00:00"
"Customer KBUDE",10507,"2007-04-15 00:00:00"
"Customer KBUDE",10535,"2007-05-13 00:00:00"
"Customer KBUDE",10573,"2007-06-19 00:00:00"
"Customer KBUDE",10677,"2007-09-22 00:00:00"
"Customer KBUDE",10682,"2007-09-25 00:00:00"
"Customer KBUDE",10856,"2008-01-28 00:00:00"
"Customer HFBZG",10355,"2006-11-15 00:00:00"
"Customer HFBZG",10383,"2006-12-16 00:00:00"
"Customer HFBZG",10453,"2007-02-21 00:00:00"
"Customer HFBZG",10558,"2007-06-04 00:00:00"
"Customer HFBZG",10707,"2007-10-16 00:00:00"
"Customer HFBZG",10741,"2007-11-14 00:00:00"
"Customer HFBZG",10743,"2007-11-17 00:00:00"
"Customer HFBZG",10768,"2007-12-08 00:00:00"
"Customer HFBZG",10793,"2007-12-24 00:00:00"
"Customer HFBZG",10864,"2008-02-02 00:00:00"
"Customer HFBZG",10920,"2008-03-03 00:00:00"
"Customer HFBZG",10953,"2008-03-16 00:00:00"
"Customer HFBZG",11016,"2008-04-10 00:00:00"
"Customer HGVLZ",10278,"2006-08-12 00:00:00"
"Customer HGVLZ",10280,"2006-08-14 00:00:00"
"Customer HGVLZ",10384,"2006-12-16 00:00:00"
"Customer HGVLZ",10444,"2007-02-12 00:00:00"
"Customer HGVLZ",10445,"2007-02-13 00:00:00"
"Customer HGVLZ",10524,"2007-05-01 00:00:00"
"Customer HGVLZ",10572,"2007-06-18 00:00:00"
"Customer HGVLZ",10626,"2007-08-11 00:00:00"
"Customer HGVLZ",10654,"2007-09-02 00:00:00"
"Customer HGVLZ",10672,"2007-09-17 00:00:00"
"Customer HGVLZ",10689,"2007-10-01 00:00:00"
"Customer HGVLZ",10733,"2007-11-07 00:00:00"
"Customer HGVLZ",10778,"2007-12-16 00:00:00"
"Customer HGVLZ",10837,"2008-01-16 00:00:00"
"Customer HGVLZ",10857,"2008-01-28 00:00:00"
"Customer HGVLZ",10866,"2008-02-03 00:00:00"
"Customer HGVLZ",10875,"2008-02-06 00:00:00"
"Customer HGVLZ",10924,"2008-03-04 00:00:00"
"Customer XHXJV",10501,"2007-04-09 00:00:00"
"Customer XHXJV",10509,"2007-04-17 00:00:00"
"Customer XHXJV",10582,"2007-06-27 00:00:00"
"Customer XHXJV",10614,"2007-07-29 00:00:00"
"Customer XHXJV",10853,"2008-01-27 00:00:00"
"Customer XHXJV",10956,"2008-03-17 00:00:00"
"Customer XHXJV",11058,"2008-04-29 00:00:00"
"Customer QXVLA",10265,"2006-07-25 00:00:00"
"Customer QXVLA",10297,"2006-09-04 00:00:00"
"Customer QXVLA",10360,"2006-11-22 00:00:00"
"Customer QXVLA",10436,"2007-02-05 00:00:00"
"Customer QXVLA",10449,"2007-02-18 00:00:00"
"Customer QXVLA",10559,"2007-06-05 00:00:00"
"Customer QXVLA",10566,"2007-06-12 00:00:00"
"Customer QXVLA",10584,"2007-06-30 00:00:00"
"Customer QXVLA",10628,"2007-08-12 00:00:00"
"Customer QXVLA",10679,"2007-09-23 00:00:00"
"Customer QXVLA",10826,"2008-01-12 00:00:00"
"Customer QUHWH",10326,"2006-10-10 00:00:00"
"Customer QUHWH",10801,"2007-12-29 00:00:00"
"Customer QUHWH",10970,"2008-03-24 00:00:00"
"Customer RTXGC",10331,"2006-10-16 00:00:00"
"Customer RTXGC",10340,"2006-10-29 00:00:00"
"Customer RTXGC",10362,"2006-11-25 00:00:00"
"Customer RTXGC",10470,"2007-03-11 00:00:00"
"Customer RTXGC",10511,"2007-04-18 00:00:00"
"Customer RTXGC",10525,"2007-05-02 00:00:00"
"Customer RTXGC",10663,"2007-09-10 00:00:00"
"Customer RTXGC",10715,"2007-10-23 00:00:00"
"Customer RTXGC",10730,"2007-11-05 00:00:00"
"Customer RTXGC",10732,"2007-11-06 00:00:00"
"Customer RTXGC",10755,"2007-11-26 00:00:00"
"Customer RTXGC",10827,"2008-01-12 00:00:00"
"Customer RTXGC",10871,"2008-02-05 00:00:00"
"Customer RTXGC",10876,"2008-02-09 00:00:00"
"Customer RTXGC",10932,"2008-03-06 00:00:00"
"Customer RTXGC",10940,"2008-03-11 00:00:00"
"Customer RTXGC",11076,"2008-05-06 00:00:00"
"Customer EEALV",10389,"2006-12-20 00:00:00"
"Customer EEALV",10410,"2007-01-10 00:00:00"
"Customer EEALV",10411,"2007-01-10 00:00:00"
"Customer EEALV",10431,"2007-01-30 00:00:00"
"Customer EEALV",10492,"2007-04-01 00:00:00"
"Customer EEALV",10742,"2007-11-14 00:00:00"
"Customer EEALV",10918,"2008-03-02 00:00:00"
"Customer EEALV",10944,"2008-03-12 00:00:00"
"Customer EEALV",10949,"2008-03-13 00:00:00"
"Customer EEALV",10975,"2008-03-25 00:00:00"
"Customer EEALV",10982,"2008-03-27 00:00:00"
"Customer EEALV",11027,"2008-04-16 00:00:00"
"Customer EEALV",11045,"2008-04-23 00:00:00"
"Customer EEALV",11048,"2008-04-24 00:00:00"
"Customer UBHAU",10289,"2006-08-26 00:00:00"
"Customer UBHAU",10471,"2007-03-11 00:00:00"
"Customer UBHAU",10484,"2007-03-24 00:00:00"
"Customer UBHAU",10538,"2007-05-15 00:00:00"
"Customer UBHAU",10539,"2007-05-16 00:00:00"
"Customer UBHAU",10578,"2007-06-24 00:00:00"
"Customer UBHAU",10599,"2007-07-15 00:00:00"
"Customer UBHAU",10943,"2008-03-11 00:00:00"
"Customer UBHAU",10947,"2008-03-13 00:00:00"
"Customer UBHAU",11023,"2008-04-14 00:00:00"
"Customer PSNMQ",10521,"2007-04-29 00:00:00"
"Customer PSNMQ",10782,"2007-12-17 00:00:00"
"Customer PSNMQ",10819,"2008-01-07 00:00:00"
"Customer PSNMQ",10881,"2008-02-11 00:00:00"
"Customer PSNMQ",10937,"2008-03-10 00:00:00"
"Customer PSNMQ",11054,"2008-04-28 00:00:00"
"Customer VMLOG",10259,"2006-07-18 00:00:00"
"Customer WNMAF",10254,"2006-07-11 00:00:00"
"Customer WNMAF",10370,"2006-12-03 00:00:00"
"Customer WNMAF",10519,"2007-04-28 00:00:00"
